100;-1;0.3261348160744472;-5.742574257425742;100;63;28
200;-1;0.2;-5.856435643564357;100;54;33
300;-3;0.2;-5.594059405940594;100;51;33
400;-5;0.2;-5.257425742574258;100;66;24
500;-3;0.2;-5.658415841584159;100;51;32
600;-2;0.2;-3.6732673267326734;100;62;28
700;-13;0.2;-5.836633663366337;100;64;21
800;-10.5;0.2;-5.866336633663367;100;62;25
900;0;0.2;-5.316831683168317;100;60;23
1000;-16.5;0.2;-5.811881188118812;100;54;26
1100;-8;0.2;-5.737623762376238;100;52;36
1200;-3;0.2;-6.732673267326732;100;58;28
1300;-2;0.2;-4.2772277227722775;100;55;35
1400;-2;0.2;-4.787128712871287;100;64;21
1500;-16;0.2;-4.920792079207921;100;57;29
1600;-1;0.2;-5.816831683168317;100;66;23
1700;1;0.2;-4.658415841584159;100;61;32
1800;-2;0.2;-6.128712871287129;100;65;23
1900;-2;0.2;-5.905940594059406;100;65;22
2000;-1;0.2;-5.247524752475248;100;58;30
2100;-9.5;0.2;-4.628712871287129;100;63;28
2200;0;0.2;-5.054455445544554;100;46;32
2300;-6;0.2;-5.410891089108911;100;64;23
2400;-3;0.2;-4.925742574257426;100;60;33
2500;-5;0.2;-4.712871287128713;100;64;30
2600;-11;0.2;-5.118811881188119;100;59;27
2700;-2;0.2;-5.4950495049504955;100;57;27
2800;-8;0.2;-4.673267326732673;100;63;31
2900;1;0.2;-4.044554455445544;100;57;28
3000;-1;0.2;-4.1683168316831685;100;67;21
3100;-14;0.2;-5.079207920792079;100;63;29
3200;-6;0.2;-4.574257425742574;100;58;32
3300;-11;0.2;-4.47029702970297;100;57;36
3400;-1;0.2;-5.257425742574258;100;57;31
3500;0;0.2;-5.688118811881188;100;56;35
3600;-1;0.2;-5.50990099009901;100;59;32
3700;-2;0.2;-5.475247524752476;100;60;26
3800;0;0.2;-5.341584158415841;100;64;21
3900;-4;0.2;-4.945544554455446;100;62;25
4000;-7;0.2;-5.445544554455446;100;63;23
4100;-5;0.2;-4.6138613861386135;100;67;29
4200;-1;0.2;-4.336633663366337;100;67;21
4300;-3;0.2;-5.930693069306931;100;63;19
4400;-3;0.2;-5.014851485148514;100;54;29
4500;0;0.2;-5.554455445544554;100;59;27
4600;1;0.2;-6.648514851485149;100;64;27
4700;0;0.2;-4.024752475247524;100;57;38
4800;-11.5;0.2;-5.178217821782178;100;51;37
4900;0;0.2;-5.163366336633663;100;75;19
4999;-2;0.2;-5.5049504950495045;100;57;28
