100;5100;0.36237201786049694;2909.90099009901;13179125.0;61;34;164
200;5100;0.13263987810938213;4069.3069306930693;429834.4;76;17;44
300;5200;0.0485504851305729;3064.3564356435645;489677.9;57;32;6
400;5100;0.017771047742294682;4808.910891089109;8083553.0;86;7;3
500;5100;0.01;4799.009900990099;6767313.0;91;6;2
600;5100;0.01;4427.722772277228;3778945.8;84;11;1
700;5100;0.01;4142.574257425743;3545.0706;83;15;0
800;5200;0.01;4593.069306930693;3767131.5;81;9;0
900;5200;0.01;3660.3960396039606;70684.016;60;24;0
1000;5200;0.01;3351.4851485148515;6367420.0;63;29;2
1100;5100;0.01;4266.336633663366;6942202.0;83;13;0
1200;5100;0.01;4338.6138613861385;41170.34;81;13;0
1300;5100;0.01;5052.475247524752;6536512.0;87;4;2
1400;5100;0.01;5102.970297029703;125180.94;86;4;2
1500;5100;0.01;4906.930693069307;1018.36707;92;4;0
1600;5100;0.01;4761.3861386138615;29177.875;88;7;0
1700;6200;0.01;4873.267326732674;762.34454;81;7;0
1800;7100;0.01;5171.287128712871;4412306.5;94;1;0
1900;6000;0.01;4579.207920792079;3281128.0;86;10;1
2000;5100;0.01;4636.633663366337;1274334.8;87;8;0
2100;5100;0.01;4848.514851485149;1221129.9;87;6;0
2200;5100;0.01;5038.6138613861385;18061.646;87;4;0
2300;5100;0.01;5325.742574257426;10671.779;92;0;0
2400;5100;0.01;5352.475247524752;486359.2;96;0;0
2500;5100;0.01;4956.435643564357;513711.28;90;5;1
2600;5100;0.01;5154.455445544554;14540.585;90;2;0
2700;5100;0.01;4603.960396039604;51312.562;88;9;0
2800;5100;0.01;5208.910891089109;4153123.5;90;2;1
2900;6200;0.01;5043.564356435643;972590.06;85;5;1
3000;5100;0.01;4977.227722772277;285738.38;89;5;2
3100;6100;0.01;5203.960396039604;55085.5;90;2;1
3200;5100;0.01;4650.495049504951;868082.06;86;10;0
3300;5100;0.01;5178.217821782178;1277413.6;96;1;0
3400;5100;0.01;5372.277227722772;919378.0;90;0;1
3500;5100;0.01;5337.623762376237;306377.3;86;1;0
3600;5100;0.01;5377.227722772277;6821.878;91;0;0
3700;5100;0.01;5143.564356435643;14068.514;97;2;0
3800;5100;0.01;5148.514851485149;1001.9695;87;3;1
3900;5100;0.01;4843.564356435643;44798.203;87;7;2
4000;5100;0.01;5300.990099009901;6083311.0;92;1;4
4100;5100;0.01;5147.524752475248;186147.1;94;1;1
4200;5100;0.01;4506.930693069307;7500.237;87;10;0
4300;5100;0.01;5002.970297029703;2853.8718;88;5;1
4400;5100;0.01;4606.930693069307;673.5794;87;9;1
4500;5100;0.01;4964.3564356435645;44.51376;91;4;0
4600;5100;0.01;5104.950495049505;4541.9277;87;3;0
4700;5100;0.01;4753.465346534654;59772.113;88;7;0
4800;5100;0.01;4766.336633663366;3430.1687;90;7;3
4900;5100;0.01;4826.732673267326;57576.375;82;7;0
5000;5100;0.01;4760.39603960396;820305.5;80;9;0
5100;5100;0.01;5295.049504950495;15277.455;93;0;0
5200;7100;0.01;4927.722772277228;5671.5454;90;5;1
5300;6200;0.01;4189.108910891089;54583.0;76;17;0
5400;6200;0.01;4610.891089108911;1220496.2;78;12;0
5500;5100;0.01;4425.742574257426;33974.06;78;14;0
5600;6200;0.01;4410.891089108911;52041.43;75;13;0
5700;6200;0.01;3462.3762376237623;4922.474;58;27;2
5800;5100;0.01;4167.3267326732675;585.5143;73;18;0
5900;5100;0.01;4355.445544554455;42550.664;84;13;0
6000;6200;0.01;5135.6435643564355;32451.076;95;3;1
6100;5100;0.01;5176.237623762377;9819.871;93;3;0
6200;5100;0.01;5451.485148514851;4158.348;88;0;0
6300;5100;0.01;4985.148514851485;106168.78;87;5;0
6400;5100;0.01;5230.693069306931;3003243.2;92;1;1
6500;5100;0.01;5179.207920792079;299840.62;86;4;1
6600;5100;0.01;5136.633663366337;10574.781;96;1;1
6700;5100;0.01;5109.9009900990095;630439.75;82;3;1
6800;5100;0.01;5218.811881188119;941.0181;92;1;1
6900;6100;0.01;4829.702970297029;10521.637;79;8;3
7000;5100;0.01;5107.920792079208;10565.086;89;3;1
7100;5100;0.01;5005.940594059406;406447.6;90;4;0
7200;5100;0.01;5093.069306930693;37853.547;90;4;0
7300;5100;0.01;4740.59405940594;94231.54;88;7;2
7400;5100;0.01;5060.39603960396;18104.918;95;2;0
7500;5100;0.01;4656.435643564357;104794.24;85;8;2
7600;5100;0.01;4900.990099009901;200295.53;97;3;0
7700;5100;0.01;4879.207920792079;6757.528;95;4;1
7800;5100;0.01;4761.3861386138615;74036.766;95;5;0
7900;5100;0.01;4453.465346534654;29093.58;84;11;1
8000;5100;0.01;5106.930693069307;472143.75;95;2;1
8100;5100;0.01;5159.40594059406;26622.736;88;3;1
8200;5100;0.01;5259.40594059406;27323.004;91;1;1
8300;5100;0.01;4922.772277227723;580.57733;92;4;1
8400;5100;0.01;4693.069306930693;25573.346;83;9;1
8500;5200;0.01;4640.59405940594;10809.053;88;8;1
8600;5100;0.01;5000.990099009901;89053.914;93;4;0
8700;6200;0.01;5058.415841584158;343908.66;98;2;0
8800;5100;0.01;4810.891089108911;101.123055;91;6;1
8900;5100;0.01;5235.6435643564355;2822.6274;94;2;0
9000;5100;0.01;5139.60396039604;15455.5625;90;3;1
9100;5100;0.01;5069.306930693069;79672.0;92;3;1
9200;5100;0.01;4911.881188118812;4319.845;93;5;2
9300;5100;0.01;4914.851485148515;47095.164;92;5;0
9400;5100;0.01;5186.138613861386;304.60895;92;2;2
9500;5100;0.01;5277.227722772277;2113.3254;95;0;2
9600;5100;0.01;5393.069306930693;11215.8545;93;0;1
9700;7200;0.01;5137.623762376237;34906.684;93;3;1
9800;5100;0.01;5181.188118811881;856339.8;91;2;0
9900;5100;0.01;5151.485148514851;60015.305;92;2;0
10000;5100;0.01;5063.366336633663;3405.2742;95;3;1
10100;5100;0.01;5146.534653465346;1825756.2;95;2;0
10200;5100;0.01;5211.881188118812;172282.31;91;2;0
10300;5100;0.01;5317.821782178218;3571.7751;96;0;1
10400;5100;0.01;5345.544554455446;8087.8843;92;0;2
10500;5100;0.01;5274.257425742574;8357.48;91;1;1
10600;-2000;0.01;5117.821782178218;2867.132;92;3;0
10700;5100;0.01;5002.970297029703;166.25925;93;3;1
10800;5100;0.01;4847.524752475248;7308.799;83;7;1
